#п/п;Заказчик;URL;Наименование;URL;Способ_закупки;Единица_измерения;Кол-во;Цена_за_ед.;Плановая_сумма;Планируемый_срок_закупки;Статус
82320960;;https://goszakup.gov.kz/ru/registry/show_supplier/38214;Бумага для офисного оборудования;https://goszakup.gov.kz/ru/registry/show_plan/86437613/4718101;Запрос ценовых предложений;Одна пачка;100;2 327.58;232 758.00;Апрель;Опубликован
86395683;;https://goszakup.gov.kz/ru/registry/show_supplier/29789;Услуги по страхованию профессиональной ответственности медицинских работников;https://goszakup.gov.kz/ru/registry/show_plan/86437610/4718063;Из одного источника путем прямого заключения договора;Одна услуга;1;145 892.34;145 892.34;Апрель;Утвержден
83931273;;https://goszakup.gov.kz/ru/registry/show_supplier/50046;Услуги по дезактивации помещений/оборудования/материалов/среды;https://goszakup.gov.kz/ru/registry/show_plan/86437578/4715312;Из одного источника путем прямого заключения договора;Одна услуга;1;170 000.00;170 000.00;Апрель;Проект договора
86398098;ГККП «Дом культуры «Козы Корпеш- Баян сулу» отдела культуры, развития языков, физической культуры и спорта Аягозского района области Абай»;https://goszakup.gov.kz/ru/registry/show_supplier/17446;Услуги по организации/проведению конференций/семинаров/форумов/конкурсов/корпоративных/спортивных/культурных/праздничных и аналогичных мероприятий;https://goszakup.gov.kz/ru/registry/show_plan/86437544/4718094;Из одного источника путем прямого заключения договора;Одна услуга;1;30 000 000.00;30 000 000.00;Апрель;Утвержден
86426711;КГКП ясли-сад «Бөбек» государственного учреждения «Отдел образования по Жамбылскому району Управления образования Алматинской области»;https://goszakup.gov.kz/ru/registry/show_supplier/50875;Салфетка;https://goszakup.gov.kz/ru/registry/show_plan/86437522/4718092;Электронный магазин;Упаковка;200;650.00;130 000.00;Апрель;Утвержден
84165467;;https://goszakup.gov.kz/ru/registry/show_supplier/16777;Топливо дизельное;https://goszakup.gov.kz/ru/registry/show_plan/86437451/4717401;Запрос ценовых предложений;Литр (куб. дм.);7040;310.00;2 182 400.00;Апрель;Утвержден
86207493;;https://goszakup.gov.kz/ru/registry/show_supplier/24702;Услуги по уборке зданий/помещений/территории и аналогичных объектов;https://goszakup.gov.kz/ru/registry/show_plan/86437429/4712951;Открытый конкурс;Одна услуга;1;116 381 491.00;116 381 491.00;Апрель;Проект заявки
86437416;;https://goszakup.gov.kz/ru/registry/show_supplier/37423;Работы по ремонту/модернизации компьютерной/периферийной оргтехники/оборудования;https://goszakup.gov.kz/ru/registry/show_plan/86437416/4718032;Из одного источника путем прямого заключения договора;Работа;1;400 000.00;400 000.00;Апрель;Утвержден
86437413;;https://goszakup.gov.kz/ru/registry/show_supplier/2993;Свекла;https://goszakup.gov.kz/ru/registry/show_plan/86437413/4718070;Из одного источника путем прямого заключения договора по питанию обучающихся;Килограмм;300;300.00;90 000.00;Апрель;Проект договора
82292885;;https://goszakup.gov.kz/ru/registry/show_supplier/58184;Услуги по утилизации имущества;https://goszakup.gov.kz/ru/registry/show_plan/86437399/4718061;Запрос ценовых предложений;Одна услуга;1;4 666 793.10;4 666 793.10;Январь;Утвержден
